question,views,posted
Are 5-year law and 3-year law questions similar? Is there any repetition in the syllabus or not?,53,3 years ago
"I have a compartment and my result is coming in mid-August, so I want to know can I get admission in mid-August?",133,3 years ago
"Does LPU provide good placements for B.Sc. In hospitality, airline and tourism?",42,3 years ago
What is the fee structure for B.Com in LPU?,97,3 years ago
Can I get admission in LPU on the basis of class 12th marks or UPSEE without giving LPU-NEST?,25,3 years ago
How are the placements and hostel facilities in LPU?,11,3 years ago
I SEE many people say that LPU continuously upgrades its syllabus? How does it do it? And on what basis.,3,3 years ago
How many students are taking admission in Lpu this year from andhrapradesh?,8,3 years ago
I got 85% in Class 12 exam and JEE percentile 88.8 can I get admission in lpu.,22,3 years ago
Do I need to pay the total fees at once in Lovely Professional University?,55,3 years ago
My JEE rank is 244621 so I am confused that I chose lower NIT or LPU.,8,3 years ago
Which is best BTEC or BSC in IT  in LPU,17,3 years ago
Are lateral entries supported in LPU?,57,3 years ago
In January JEE Mains I got 92.96 percentile under OBC category. If my percentile increase in April attempt should I go for LNMIT or LPU?,330,3 years ago
Fashion design LPU se karne k liye entrance mein kya ayega iske liye. Please btaiye.,16,3 years ago
"What are the better career options available for B.A. Hons students in LPU in comparison to other universities like Amity, SRM, DU etc.",5,3 years ago
"I'm a student of 2nd semester of M.Tech in RIMT, can I migrate to Lovely Professional University after 2nd semester?",166,3 years ago
"Sir, does CGPA matters for best placements in LPU?",4,3 years ago
What eligibility from JEE exam in lovely professional University? What is the cutoff from JEE exam in LPU?,3,3 years ago
I applied for BBA international finance in LPU how can I be sure that I will get seat there?,128,3 years ago
Will the university provide UG certificate? I am doing BBA+MBA 4 years integrated course from LPU.,108,3 years ago
I have tried for LPU admission for the year 2019 and when I see the fees on Shiksha it's around 4.48 lakhs & LPU brochure it is 6.4 lakhs.,56,3 years ago
I want to know copyright and patents or industrial experience of LPU faculty esp MBA programme faculty.,239,3 years ago
"Want to BBA airlines and hospitality, which is better LPU or Chitkara or Amity?",88,3 years ago
With 49.04 percentage Can anyone get admission in LPU in M.A. Psychology If her marks in B.A. In Psychology are 56 percent?,40,3 years ago
Lovely professional University provide non math BCA course.,5,3 years ago
Can I join LPU dual degree BBA+MBA with commerce without maths & 90% in 12th? What is the placement record for this programme?,44,3 years ago
"What are the better career options available for B.A. Hons students in LPU in comparison to other universities like Amity, SRM, DU etc.",100,3 years ago
Can I get admission in LPU in the month of June or July?,41,3 years ago
"Want to BBA airlines and hospitality, which is better LPU or Chitkara or Amity?",39,3 years ago
"I haven't got 60% in 12th due to some serious health issues but cracked lpunest exam,So is there any possible way to take admission at lpu??",87,3 years ago
i have maths as optional subject in class 12 so will i get bteh(cse) in lpu?,328,3 years ago
Which is the best university out of LPU and Symbiosis with credit transfer options in B.Com or BBA programs?,446,3 years ago
I have passed graduation with a supplementary. Am I eligible to do MBA in LPU or not?,634,3 years ago
How is Lovely Professional University for B.Sc. In airlines hospitality and tourism?,35,3 years ago
Why there are so much of negative reviews about LPU on social platforms?,18,3 years ago
What is the admission procedure for this course?,168,3 years ago
Lateral entry in LPU for BBA course?,46,3 years ago
Whose infrastructure is better LPU or Amity in terms of Labs?,67,3 years ago
What would be the fees if you take a direct admission in the LPU?,6,3 years ago
Is dual degree BCA+MCA a good course from LPU?,194,3 years ago
I want to take admission in LPU on the basis of JEE Mains result and 12th marks. What can I do to take admission in CSE branch.,90,3 years ago
Is MBA in aviation management a good choice for a CSE graduate who is not interested in IT sector jobs or higher studies in Engineering?,29,3 years ago
Do we need to have 60% overall in 12th or 60% in all subjects?,1400,3 years ago
Can I appear for UGC NET exam after completing Master's degree from IGNOU?,140,3 years ago
What placement opportunities are given to students in India after completing B.Des from Lovely Professional University?,132,3 years ago
What is the last date to apply for MBA in Lovely Professional University?,67,3 years ago
how much scholarship will get for 86 percentile in jee mains,150,3 years ago
How can I pursue online French classes in LPU?,111,3 years ago
Shall I prefer LPU for M.Pharma? Does it have good placement record with better packages in pharmaceutical sciences?,158,3 years ago
What is the admission procedure for this course?,34,3 years ago
Is it compulsory to give CAT MAT and XAT tests for admission in MBA hospitality and tourism in LPU?,23,3 years ago
Is dual degree BCA+MCA a good course from LPU?,45,3 years ago
Can I get a seat in LPU based on JEE score in aerospace? My score in JEE Mains is 55.72775.,24,3 years ago
Is game design in LPU good? What is the qualification for the course?,27,3 years ago
Where can I get the previous year question papers of M.Sc. Microbiology entrance exam of LPU?,52,3 years ago
Can I take admission in LPU for BBA (Lateral Entry)? I am currently pursuing BA 2nd-year from IGNOU.,305,3 years ago
Is it necessary to pay 10k in LPU online admission?,31,3 years ago
Can I get admission in LPU for B.A LL.B second year? I am studying B.A LL.B 1st year.,79,3 years ago
Can I appear for UGC NET exam?,137,3 years ago
"I'm a government teacher, can I do Ph.D. from LPU?",99,3 years ago
Can I join LPU dual degree BBA+MBA with commerce without maths & 90% in 12th? What is the placement record for this program?,180,3 years ago
How is BBA in airlines management in lpu?,35,3 years ago
I want to Engineering. Is there any chance that ME and CE will get boast once again? Is LPU worthy to do ME or CE instead of CSE?,28,3 years ago
"What are the better career options available for B.A. Hons students in LPU in comparison to other universities like Amity, SRM, DU etc.",48,3 years ago
What is the fees for MBA IB at LPU per annum?,52,3 years ago
Which is good for me- BBA+MBA or B.Tech?,22,3 years ago
Can anyone suggest some top private colleges in India for ME or M Tech? I have completed B.E in ECE.,6,3 years ago
Which are the entrance exams for BE appearing students?,39,3 years ago
I got 60% in 12th Science. Can I get admission in aeronautical engineering?,10,3 years ago
I am confused about taking admission in LPU or SRM for CSE. As I SEE that SRM is very expensive then LPU and I also got scholarship in LPU.,73,3 years ago
What is the fee structure for B.Tech in CSE at LPU?,9,3 years ago
confused between( ba economics hons) in Amity noida or (bsc economics hons ) in LPU  best according to 1.course 2.enviroment 3 teachers,133,3 years ago
I have 71.9 percent in my 12th and I Want to join for planning course. What is the minimum fee structure and will I get a seat in LPU?,45,3 years ago
"My scholarship is not yet updated at LPU, I have paid the fee? What to do?",166,3 years ago
Why is LPU Delhi office closed for admission?,66,3 years ago
How can I get admission in LPU for Diploma after passing out 10th class?,163,3 years ago
Which course is good BCA or B.Tech? Which has more scope? What are the minimum marks required to get admission?,22,3 years ago
Why MBA Hons programme is residential at LPU. I live in Jalandhar.,157,3 years ago
Are B.Sc. Microbiology and biochemistry students eligible for M.Sc. In food and nutrition sciences?,73,3 years ago
How is LPU about Food Technology?,25,3 years ago
What should I pursue among B.A. LL.B. B.Com LL.B. B. And BBA LLB?,16,3 years ago
