question,views,posted
Is LPU good for BBA?,399,2 years ago
"Which is good Institute Loyala Institute, FMS, DU or LPU for MBA?",128,2 years ago
"Which is the best college between LPU, SMU and MUJ?",368,2 years ago
Which is the best college to pursue B.Tech in CSE or ECE if I score around 70-80% in boards?,259,2 years ago
When will the batch of B.Sc. In agriculture commence this year?,27,2 years ago
Is LPU a good option for MBA?,285,2 years ago
Which is better among LPU and Bundelkhand University for B.Tech in CS?,501,2 years ago
"Which college is best for fashion design: LPU, IIFT AIFD or INIFD?",29,2 years ago
Is mechanical engineering best in LPU?,36,2 years ago
Can I pursue B.Tech in computer science from LPU after Diploma in mechanical engineering?,662,2 years ago
What is the syllabus for 1st year of B.Sc agriculture honors?,322,2 years ago
"Which is a better college to pursue MBA, Amity University-Noida, LPU, CU or Sharda University?",45,2 years ago
Is it worth to join LPU?,176,2 years ago
Is BBA course available in LPU and KPB Hinduja College?,294,2 years ago
Which university is better for B.Com LL.B. Integrated: Lovely Professional University or Chandigarh University?,33,2 years ago
Can I pursue M.A. In psychology in LPU? Can I get good job opportunities after pursuing this course in LPU?,23,2 years ago
How is LPU for B.Com honors?,70,2 years ago
Does LPU takes donation for direct admission?,128,2 years ago
"Sir, does CGPA matters for best placements in LPU?",2200,2 years ago
Can I get admission in LPU through donation in B.Tech CSE?,112,2 years ago
Is mechanical engineering best in LPU?,168,2 years ago
LPU provide hotel management in B.A.,58,2 years ago
"Which one out of SRM, VIT, Shiv Nadar and LPU makes sense for B.Tech if I look for great ROI on my investment?",364,2 years ago
Which is best for CSE: MIT or LPU?,12,2 years ago
Is Lovely Professional University a good option to do B.Tech?,223,2 years ago
What placement packages can I get from LPU after completing MCA?,31,2 years ago
Am I eligible for Education loan in two years academic gap after 12th?,48,2 years ago
What is the procedure for getting direct admission in LPU? I have scored 62% in 12th and 78% in graduation.,52,2 years ago
Is CU good for mechanical engineering than LPU?,82,2 years ago
pl suggest which is better for b.tech cse upes or lpu or ncu,792,2 years ago
Is it true that the environment of LPU is not up to the mark?,105,2 years ago
When will the admissions begin for international students in LPU?,20,2 years ago
Does LPU offer admission on the basis of class 12th scores? Do I stand a chance to get admission with 75% in 12th?,223,2 years ago
