question,views,posted
"Shall I pursue mechanical engineering from NIT, Sikkim or CSE from LPU?",17,2 years ago
I have Achieved AIR-11 in LPU-NEST held on 24th April. I have applied in LPU-NEST for Study Grant for IIT/NIT's. Will I get Study Grant.,149,2 years ago
Should I opt for CSE in LPU or pursue chemical engineering from UPES?,94,2 years ago
"Which is better for MBA -LPU, LM Thapar or Jaipuria?",6,2 years ago
"Is Lovely Professional University better than SGSITS, Indore?",466,2 years ago
What is the average package offered after B.Sc. Agriculture in LPU?,132,2 years ago
"Should I opt for CSE in LPU or pursue ECE from Oriental Institute of Science and Technology, Bhopal?",91,2 years ago
"Which is the best college to pursue B.Tech in biotechnology, Amity University, Galgotias University or LPU?",84,2 years ago
Which university is better among LPU and Nirma in terms of placement?,314,2 years ago
"Which college is better among LPU and JECRC, Jaipur for B.Tech in CS?",290,2 years ago
Can I get admission in LPU or other good universities as I got 62% in class 12th?,52,2 years ago
"What are my chances to get admission in good MBA colleges like, Amrita University, SASTRA University, VIT, LPU. etc.?",177,2 years ago
"Is there any choice between LPU, Delhi and LPU, Jalandhar?",29,2 years ago
Which university is good for MBA: Lovely Professional University or Amity University and why?,48,2 years ago
How can I get admission in LPU after completing class 12th?,200,2 years ago
Is there any entrance test for MBA if I join LPU. What facilities have you made for candidates to attempt test?,53,2 years ago
What the fee of journalism course in LPU?,158,2 years ago
Does Lpu university has an entrance exam for B.Tech admission?,39,2 years ago
What is the admission procedure to get admission in B.Tech? My percentage in class 10th is 6.4 CGPA.,22,2 years ago
Which university is better for B.Tech among LPU and GITAM?,174,2 years ago
What is the fee structure in LPU for pursuing MBA?,139,2 years ago
"Which one should I prefer for a BBA Amity University, Noida or Lovely Professional University and why?",17,2 years ago
Is B.Sc. Agriculture course of LPU ICAR approved at present?,36,2 years ago
"Which is a better college to pursue B.Tech, new IIIT, LPU, LNMIIT, VIT, SRM or Nirma University?",184,2 years ago
Does LPU have good placement records?,80,2 years ago
Which university is better among LPU and Chandigarh University?,157,2 years ago
Can I get to travel after completing civil engineering?,45,2 years ago
Is Lovely Professional University good college?,64,2 years ago
Which is better for B.tech in machanical lovely professional university or amity university?,65,2 years ago
Does LPU gives any concession to poor students?,275,2 years ago
What are the placements of CSE at LPU?,75,2 years ago
How to get admission in B.A. In journalism course in LPU?,29,2 years ago
Is it better to stay inside or outside the LPU campus?,554,2 years ago
"currently i am prusuing B.sc  agriculture, 1st year in LPU but here this course doesn't have ICAR recognization.Is it ok to continue?",170,2 years ago
How is LPU for an M.Com and how are its placements?,30,2 years ago
Which college is better to pursue B.Tech in CS among Galgotia and LPU?,177,2 years ago
Does LPU has any indoor stadium?,73,2 years ago
Interior and Furniture course at LPU?,16,2 years ago
What is the status of the placement record for law graduates at LPU?,62,2 years ago
Which is the best college for fashion designing in India?,68,2 years ago
How can I join lateral entry in lpu,94,2 years ago
Can I pursue B.Tech in computer Science and engineering from Lovely Professional University?,170,2 years ago
What is the fee for B.Tech in LPU?,48,2 years ago
How beneficial is MBA (Hons. ). Programme over Regular MBA in LPU?,360,2 years ago
What are the hostel facilities in LPU?,81,2 years ago
