question,views,posted
Which university is better among LPU and Chandigarh university?,15,2 years ago
"Which is the best university for pursuing B.Tech in CSE, Manav Rachna, Chitkara University, LPU or Amity, Gurgaon?",395,2 years ago
Why Lovely Professional University considered as best private University?,30,2 years ago
"Is LPU, Punjab good for M.Sc biotechnology?",93,2 years ago
What is the Induction programme at LPU?,32,2 years ago
Is LPU is recognised by UGC?,58,2 years ago
Which university is better for B.Tech among LPU and ICFAI (Hyderabad)?,498,2 years ago
"Which is the best college for studies and placement after B.Tech CSE among LPU and SRM, Chennai?",18,2 years ago
"Do you offer 100% placements with assurance? If not, how many candidate were placed in the previous batch?",36,2 years ago
Is LPU good for BJMC course?,89,2 years ago
I have 58 % in 12th cbse can i get admission  in bcom hons  I have 6 sub in 12 th my top 4 sub % is 72,25,2 years ago
"Which University is better for B.Tech, Chandigarh University or LPU?",45,2 years ago
LPU vs PSIT Kanpur which is better for ECE.,227,2 years ago
What is the difference between LPU and other private universities? Why LPU has higher fee structure?,182,2 years ago
Is LPU a good college for nutrition and dietetics?,20,2 years ago
What type of jobs are offered as placement to the students who completed B.Des (product design) from LPU?,64,2 years ago
"Which institute is better among LPU and SRKR, Chennai?",43,2 years ago
Can anybody enlighten the most recent innovation by LPUs scientist in the field of Bio Engineering & Bio-Sciences?,18,2 years ago
How is the MBA program in the college and how are the overall placements in the college?,106,2 years ago
Is BBA in international finance good from LPU?,38,2 years ago
"Which one is better for B.Tech (CS) among LPU, NSIT and DTU?",914,2 years ago
Which one is better among LPU & Sharda University for B.Tech in CSE?,549,2 years ago
How many students are living in hostels?,30,2 years ago
Which one will be the best for B.Tech ECE among LPU and G.L Bajaj?,398,2 years ago
"Which college is better for pursuing mass communication, Chandigarh University or Lovely Professional University?",113,2 years ago
"Is it okay to opt for LPU for MBA? What about its placements, hostel charges and exposure to corporate world?",93,2 years ago
What are the reviews of those studying B.Tech in mechanical at LPU?,48,2 years ago
Do lateral entry student's get good placements as per past records?,66,2 years ago
Comparison between lpu and Amity on placement bases,246,2 years ago
What about social distancing at LPU?,12,2 years ago
"Which university is best for MBA among LPU, Galgotia University, GLAU, Thapar university and Sharda university?",295,2 years ago
Does LPU offer NCC for its students?,28,2 years ago
Which one is good among LPU and CGC for B.Tech in CSE?,193,2 years ago
Which is a better college to pursue B.Tech CSE among Chandigarh University and LPU?,119,2 years ago
"Which university is best for MBA among LPU, Galgotia University, GLAU, Thapar university and Sharda university?",38,2 years ago
"Which college is best for MBA among LPU Punjab, MET Mumbai, IES Mumbai, Chetana Mumbai, and Christ Bangalore?",54,2 years ago
Which one is good for a B.A. LL.B. Sharda University or LPU?,22,2 years ago
"Which college is better among Vel Tech, Chennai and LPU?",230,2 years ago
Which university provides better internship opportunity VIT or LPU?,14,2 years ago
How much marks should I required in 12th maths commerce to eligible for B.Com (Hons) course.,26,2 years ago
"Which is better college for CSE: LPU or MBM, Jodhpur? In which round seats for CSE in MBM completely filled?",177,2 years ago
What is the mess fee of LPU?,3900,2 years ago
Should I opt for B.Tech in LPU or pursue B.Sc from DU?,199,2 years ago
"Which college is better for CSE among Galgotias, Graphic Era and LPU?",69,2 years ago
"I want to take admission in MBA at LPU, I want to know about placements of MBA course?",316,2 years ago
Which is best for MBA among LPU and Amity?,130,2 years ago
"Which one is better for Mechanical engineering: VIT, SRM, LPU or Manipal?",148,2 years ago
"Which college is better to pursue CSE: KIITS, LPU, SRM, Sathyabhama University, Dayanand or PES?",16,2 years ago
How is campus selection at LPU?,314,2 years ago
Which university is best for journalism between LPU and MSU?,87,2 years ago
I completed my B.E (Mechanical Engineering) a month ago. I want to start my M.Tech in automobile engineering. Can I do M.Tech from LPU?,110,2 years ago
Which institute shall I choose among Oriental Institute of Science and Technology and LPU?,84,2 years ago
Do you think LPU is of that rating where I can compare it with Foreign Universities to pursue Higher education? Corona sinks my study visa.,10,2 years ago
How is lpu for b.tech in cse?,290,2 years ago
"Which is the best university for B.Tech in CSE among LPU, Galgotias and Amity?",275,2 years ago
Which is a better option among LPU and Manipal University?,1900,2 years ago
"Which will be best for B.Tech CSE among LPU, Presidency University and Acharya Institute of Technology?",369,2 years ago
Which is better for CSE- KIIT or LPU?,79,2 years ago
Which is better among SRM and LPU in all means?,23,2 years ago
Is it a good choice to pursue CSE from LPU? Will I get a good job and high salary package after completing CSE from LPU?,84,2 years ago
Is Lovely professional University good for MBA?,265,2 years ago
What are the specialisation available in B.Tech. CSE (Hons. ). Programme in LPU? What's the Eligibility & Placement Record?,24,2 years ago
How are the placements in LPU and Manipal?,31,2 years ago
Which one is better for CSE among IEM-Kolkata and LPU?,92,2 years ago
"For MBA marketing, which college is better: LPU, CGC and CU?",25,2 years ago
Is MS ramaiah better than LPU?,566,2 years ago
Which one is best for MBA: Doon Business School or LPU?,58,2 years ago
I came to know that LPU has ICAR accreditation upto March 2023. So I wish to know whether it will extend or not after this.,832,2 years ago
"Which will be best for B.Tech CSE among LPU, Presidency University and Acharya Institute of Technology?",56,2 years ago
"Which college is better amongst LPU, Thapar and SRM for B.Tech in computer Science engineering?",44,2 years ago
Which institute is better for BBA among ITM and LPU?,74,2 years ago
Which is better for fashion design: Amity University or LPU?,66,2 years ago
Is this a good college for MBA? How is its placement and what is the average package offered for the same? How is the college environment?,279,2 years ago
"Which college is better for B.Sc. Agriculture in Amity University, Noida or LPU, Jalandhar?",62,2 years ago
Which is better for CSE: LPU or NIT Srinagar/Manipur/Meghalaya or Sikkim Agartala?,13,2 years ago
