question,views,posted
What is the placement record of agriculture course in LPU?,524,a year ago
What is the process to apply for direct admission in Lovely Professional University (LPU) through the Secondary School Certificate?,19,a year ago
What are the timings for library?,248,a year ago
Is MBA at LPU is better then at Amity?,321,a year ago
"Which college is better for B.Sc Agriculture between LPU and Doon Business School, Dehradun?",563,a year ago
Can I get placement after completing BBA from LPU?,63,a year ago
Are there any placements for applied psychology students at LPU?,201,a year ago
What qualities make LPU different from other colleges?,450,a year ago
Is M.Sc. Horticulture comes under ICAR approval in LPU?,85,a year ago
"I want to know about studying BBA at LPU, which is better, LPU or Punjabi University Patiala for placements.",24,a year ago
"Sir, I want to study film and television production three year course. Which place is better for this course Mumbai or Punjab (LPU)?",81,a year ago
I heard from some where that LPU has swimming pools in campus. Is it true?,201,a year ago
How can I apply for B.Com in LPU?,278,a year ago
"Which is the best college to pursue B.Tech, LPU, SRM (Delhi), Amity University or DIT?",875,a year ago
"Which university is best for MBA among LPU, Galgotia University, GLAU, Thapar university and Sharda university?",47,a year ago
Which is a better college to pursue B.Tech among DIT and LPU?,358,a year ago
Can you tell me about B.Tech in civil engineering?,160,a year ago
"Which is the best, LPU or MMMUT?",63,a year ago
"I am interested to run my own medical store after my studies, my father has planned B.Pharma for me from LPU, Will it be helpful for me.",720,a year ago
How is placement in bsc agriculture and is placement in agriculture every year?,942,a year ago
Is LPU a good choice for doing M.A. in English?,207,a year ago
Is LPU good for hotel management in terms of placement?,888,a year ago
Is there anyone who wrote Kerala psc exam after taking graduation in B.Sc. Agriculture from lovely professional University.,56,a year ago
"Which is better among LPU and NIMS University, Jaipur for B.Tech in agricultural engineering?",56,a year ago
Which college is better for CSE LPU or Jaypee Noida? Does LPU have large number of students in single branch & due to this placement is bad?,137,a year ago
"Which college should I join for a BBA among below three in India Sharda University, Lovely Professional University or OP Jindal, Sonepat?",88,a year ago
"Can I know which is the best for CS among LPU, KIET, JSS, or AKG?",238,a year ago
What is the duration of the Ph.D. programme for M.Phil. Research scholars at LPU?,22,a year ago
How is Lovely Professional University?,283,a year ago
"Which is a better college for CSE among LPU and Jaypee, Noida?",1100,a year ago
Is LPU the best university for B.Tech?,69,a year ago
"which college would be better for btech cse program, lpu or poornima college?",162,a year ago
Which is a better option for MBA: UPES or LPU?,658,a year ago
Do LPU have separate room facilities in the hostel?,137,a year ago
How are the placements for a B.Tech mechanical student at LPU?,70,a year ago
"Which is better to study aerospace engineering, LPU or UPES?",81,a year ago
Why LPU scholarship reduces with each passing phase during the time of admission?,62,a year ago
Can I know which is better: Amity Noida vs LPU?,72,a year ago
I got 80% in 12th CBSE and given CLAT exam. Can I get admission now? What is the fee structure for 5 years including hostel charges?,174,a year ago
How is the BBA course at Lovely Professional University?,523,a year ago
How is the LPU's ECE programme? Does this programme make me eligible for NASA?,32,a year ago
"I am in Delhi and looking for PhD-Part time from Lovely Professional University, what all the flexible options I can get.",111,a year ago
Which one is better for MBA? LPU or PIBM Pune.,443,a year ago
How good is LPU for mechanical engineering?,54,a year ago
Is Galgotias University and lovely professional university is good for engineering and which university should I prefer to.,183,a year ago
What is the placement range for agriculture B.Tech in LPU?,136,a year ago
Is it possible to get direct admission in LPU for MBA without giving any CAT/MAT or other entrance exams? I scored 57% in B.Com.,979,a year ago
Is LPU a good option for B.Tech CSE?,211,a year ago
Which is better lpu or Chandigarh university for MBA ib?,544,a year ago
Is LPU going to plan 2021 session classes also online?,49,a year ago
Which is better for MBA- Lovely Professional University or Sikkim Manipal University?,152,a year ago
What are the different scholarships offered by LPU?,97,a year ago
What are the Career prospect after pursuing LL.B. From LPU? Also please specify Academic quality.,41,a year ago
What is the fee structure for students attending the Delhi campus of LPU?,56,a year ago
Which is better in terms of placements between mechanical engineering from Thapar or CSE from LPU?,166,a year ago
"Which college is best to pursue B.Tech CSE amongst MSRIT, BMS and LPU?",557,a year ago
What is the Lovely Professional University's policy on admission for SC/ST candidates? Do they need to take entrance exams?,28,a year ago
What is the minimum and maximum duration of a Ph.D. programme (full time/part time) at LPU?,21,a year ago
How is LPU for pharmacy? How is it in terms of placement?,641,a year ago
Which is the best college for CSE among Galgotias and LPU?,185,a year ago
Does LPU provide Scholarships to students? I have financial issue?,522,a year ago
I want to know if Lovely Professional University is good for fashion design.,64,a year ago
Is there100% placements in LPU for law? Is LPU worth joining for law?,180,a year ago
Can I go for a B.Arch in LPU?,163,a year ago
What are the career opportunities being provided by LPU?,83,a year ago
Which is best for mechanical Chandigarh university or kiit or lpu or vit.,158,a year ago
Which college should I choose for a B.Tech in CSE? Should I go for LPU or UPTU or IPU?,55,a year ago
What students' study in the first year in Ph.D. at LPU?,19,a year ago
"Which is the best college to pursue B.Tech in biotechnology, Amity University, Galgotias University or LPU?",365,a year ago
When is admission for an MBA 2023-25 going to begin in LPU?,19,a year ago
Which University is better for hotel management among Chitkara University and Lovely Professional University?,691,a year ago
Is LPU a good university good for B.Tech in CSE?,1100,a year ago
What is the scope of MBA in HR from LPU?,73,a year ago
"Which is a better institute to pursue MBA, LPU or IIM?",1600,a year ago
Is LPU (lovely professional University) a good college for B.Tech in mechanical engineering or should wait for UPTU results?,223,a year ago
How were the placements for an MBA at LPU?,82,a year ago
What is the condition of placement for a BCA at LPU?,48,a year ago
Is distance education allowed for working professionals? Am I eligible for distance education in LPU or any other university?,91,a year ago
Is BBA in International finance a good choice at LPU?,40,a year ago
What is the fees at LPU? Is there any scholarship available?,36,a year ago
Which is best for B.Tech in CS LPU or CU.,77,a year ago
Is it worth to study CSE from LPU?,102,a year ago
