question,views,posted
Can I get admission in LPU in the month of June or July?,222,6 months ago
"My percentage only 49%, can I get admission in LPU?",54,5 months ago
"Is Lovely Professional University, good for a B.Tech in the ECE branch?",32,5 months ago
Does LPU takes donation for direct admission?,25,6 months ago
"If I have scored 91.8% in 12th, can I get scholarship for MBA in LPU?",551,6 months ago
Does LPU provides AI and ML as specialisation?,571,6 months ago
Is National Institute of Pharmaceutical Education and Research Guwahati better than LPU?,7,5 months ago
Does LPU provide admission on the basis of JEE-Mains rank and percentile?,102,6 months ago
Is it worth to pursue CSE from LPU?,86,5 months ago
How are placements for M.Sc. in Food Science and Technology at LPU college?,6,3 months ago
How about BPT at LPU?,43,5 months ago
"Which is better for CSE LPU, chitkara or Chandigarh university?",45,6 months ago
Is LPUs film and TV production course better for getting placements?,53,5 months ago
Which is a better option to pursue fashion design: INIFD or LPU?,201,6 months ago
Why are so many students going for study abroad programs at LPU?,32,5 months ago
"Which university has better placement opportunities in pharmacy, Chandigarh University or LPU?",33,5 months ago
Is there a lateral entry provision at LPU?,596,6 months ago
Which university is better - CU or LPU for aerospace engineering?,124,6 months ago
Is LPU a good university to do a BBA LL.B. Integrated course?,31,5 months ago
Which university is better for aerospace engineering among PU and LPU?,230,6 months ago
Does big companies really hire students from LPU?,113,6 months ago
"I want to know about the latest cutoff information for B.A. (Hons.) in Psychology at Lovely Professional University, Admission Office.",102,5 months ago
Is it worth studying in LPU (Punjab) B. Design (Fashion)? Do they give quality education?,63,5 months ago
Do LPU emphasis on co-curricular activities?,51,6 months ago
what is the last date to apply for admission,129,6 months ago
"Which college is best for fashion design: LPU, IIFT, AIFD or INIFD?",295,6 months ago
Am I eligible to do interior designing course? I have commerce with maths stream in class 12th.,327,6 months ago
How is Lovely Professional University for a BCA. Is it worth doing a BCA. In LPU or should I try for another one?,183,6 months ago
Can I pursue Diploma in engineering from LPU?,105,6 months ago
What is the fee structure of B.A. LL.B. ( integrated course) in LPU?,117,6 months ago
Does LPU give study grants for real?,46,5 months ago
Does Lovely Professional University offer placement in B.Ed?,397,6 months ago
What are the jobs after BCA from LPU?,50,5 months ago
How were the placements for an MBA from LPU this year?,81,6 months ago
How are the facilities in LPU?,204,6 months ago
Are agriculture B.Sc. Certificates valid or invalid in LPU Punjab?,64,5 months ago
Is LPU a good college in terms of placement of Journalism and mass communication?,561,6 months ago
Is CAT compulsory for MBA in LPU?,33,5 months ago
Which are the programs that LPU offers in combination with a B.Ed?,63,6 months ago
What are the subjects offered in B.A programming in LPU?,172,6 months ago
What is the commencement date of the academic session for M.Sc in IT (LPU)?,145,5 months ago
How are placements for B.Des. in Interior and Furniture at LPU college?,,3 months ago
Is LPU ICAR recognised?,75,6 months ago
What is the placement record of MCA in LPU?,113,6 months ago
How are placements for B.Sc. in Forensic Sciences at LPU college?,,3 months ago
What is the last date for applying at LPU for B.Tech in automobile engg.? What is the scope of the same?,179,6 months ago
What is the admission procedure to get into BA LLB? What is the procedure to enroll in LPU? What is the fee structure and scholarship?,659,6 months ago
I scored only 47% in my 12th examination. Can I join information technology in Lovely Professional University? I am from Nepal.,170,6 months ago
"Which is the best university for M.Sc in chemistry among Amity, LPU, Manipal and SRM (Delhi) in terms of placements?",70,6 months ago
"Which university among Chandigarh University, LPU and Chitkara should I prefer for a Bachelors in agriculture?",267,6 months ago
Is LPU good for electronics and communication?,34,5 months ago
Does LPU conduct placement classes for preparation?,291,6 months ago
How is B.Tech Biotechnology at LPU?,242,6 months ago
Is LPU good for Masters in Microbiology programme?,62,6 months ago
"I want to know about the latest cutoff information for Bachelor of Fine Arts at Lovely Professional University, Admission Office.",119,5 months ago
How are placements for Bachelor of Commerce (B.Com. Hons.) at LPU college?,,3 months ago
How can I get admission in LPU for B.Tech with 57% in 12th (boards) and 46.4% in PCM?,183,6 months ago
Is LPU offered Law courses?,141,6 months ago
What type of questions are asked in LPU-NEST?,53,5 months ago
What is the eligibility criteria to pursue B.Des from LPU?,292,6 months ago
What kind of entrance exam do I have to clear to pursue B.Des in fashion from LPU?,409,6 months ago
Is LPU a good university in terms of placements?,196,6 months ago
"Can I get admission in Lovely Professional University, Admission Office for M.Sc in Nutrition and Dietetics?",357,6 months ago
How is performing arts at LPU?,14,5 months ago
