question,views,posted
Is it a good choice to pursue B.Tech in LPU?,740,2 years ago
Will I get admission in LPU if I get 114 marks in LPU-NEST?,26,10 months ago
Which is the best university in all aspects among CU and LPU?,373,a year ago
What is the application process for LPU BCA course?,29,10 months ago
What is the salary offered after doing BBA in LPU?,37,10 months ago
"Which is better among LPU, Chandigarh University and Chitkara University for B.Tech in CSE?",146,11 months ago
I failed in intermediate and my maximum grade would be below 60%. Can I get a seat in LPU for BBA course?,301,11 months ago
Is B.Tech CSE in LPU approved by UGC?,199,11 months ago
What is the highest package offered by LPU for CSE?,141,11 months ago
What are the top colleges for doing B.Sc in nutrition and dietetics? What is the eligibility and admission procedure? How is the faculty?,434,11 months ago
How are the placements of LPU for B.Tech CSE?,152,11 months ago
"Which university is better in terms of placement UITHM MBA, LPU, Chitkara, Amity or Chandigarh University?",701,11 months ago
Which is the best university among LPU and Anna University overall?,857,11 months ago
How is Lovely Professional University to pursue BBA?,109,11 months ago
Which branch is best for placements at LPU?,70,11 months ago
What is the cut-off for CSE at LPU?,698,11 months ago
Which exam should I appear to pursue MBA?,119,11 months ago
"Which is better, LPU or RIIM Pune?",138,11 months ago
Is it a good choice to pursue BBA from LPU?,550,11 months ago
How to get admission to LPU University?,27,10 months ago
"Which college is best for BTech CSE: BML Munjal University-Gurgaon, GLA University-Mathura, GL Bajaj Noida and LPU Punjab?",83,10 months ago
What is the placement record of LPU for B.Pharma?,395,11 months ago
Is LPU good to pursue BBA (Hons.)?   What about its placement?,545,11 months ago
How are the placements for B.Tech at LPU?,74,11 months ago
I want to join lovely professional university (CSE) how is lovely professional university.,112,11 months ago
Which college should I choose among Parul Universty and LPU for CSE? I am living in Gujarat.,528,11 months ago
I want to join LPU but is it necessary to pass LPU NEST or JEE Mains?,123,11 months ago
Is it worth to join LPU?,986,11 months ago
Is it worth to join LPU?,302,11 months ago
Is Laptop compulsory for a student at LPU?,139,2 years ago
"Can  I be 100% assured that I will be getting placement, if I join LPU ?",83,11 months ago
Is it a right step to do CSE from Lovely professional University?,669,11 months ago
Can you please tell me the cutoff of LPU?,193,11 months ago
How to apply for LPU BTech admission?,35,10 months ago
How is B.Planning programme at LPU?,115,11 months ago
How is LPU for pursuing B.Tech?,145,11 months ago
Does LPU provide good MBA placements?,154,11 months ago
Which is better- PU or LPU?,100,11 months ago
Is LPU good for BTech?,20,10 months ago
Is there any Entrance exam for BBA in LPU.,53,11 months ago
Does LPU offer any scholarship on the basis of LPU-NEST?,118,11 months ago
Which is the best university for MBA-DU or LPU?,275,11 months ago
Does LPU take direct admission in MBA without entrance or through management quota?,69,11 months ago
Which one is better for B.Tech in computer science: Lovely Professional University or Chandigarh University?,1600,11 months ago
Does LPU support admission through CUET exam?,320,a year ago
Sir please suggest between LPU and Chandigarh University in B.Tech CSE I got 28 percent scholarship for 4 year but in CU initial 40 percent,10,10 months ago
Which university is much better for M.Sc in hotel management: Chandigarh University or LPU?,703,11 months ago
What is the GATE cut-off in civil engineering?,124,11 months ago
What is the cutoff for LPU for BTech?,10,10 months ago
How is the placement for BBA+MBA from LPU? I have scored 97% in 10+2. Can I join without LPU-NEST?,82,11 months ago
Can I get LPU with 100 marks?,8,10 months ago
What is the application fee for LPU MBA admission?,33,10 months ago
What is the eligibility criteria for MBA course at Lovely Professional University- Seekho?,,10 months ago
How is the placement for BBA+MBA from LPU? I have scored 97% in 10+2. Can I join without LPU-NEST?,86,11 months ago
Does LPU NEST score really matter for taking admission without a scholarship for CS branch at Lovely professional university?,54,11 months ago
Which are the BTech (Hons) specialisations offered at LPU?,10,10 months ago
Lpu nest rank for MBA hons,76,10 months ago
How can I get admission in LPU MBA?,19,10 months ago
How is the placement for BBA+MBA from LPU? I have scored 97% in 10+2. Can I join without LPU-NEST?,64,11 months ago
What is the fee for BTech (LE) course at LPU?,8,10 months ago
Is LPU worth pursuing pharmacy course?,398,11 months ago
What is the fees of 2 year MBA in LPU?,10,10 months ago
"IS LPU, CU or VIT good for mechanical engineering?",172,11 months ago
Is it a good choice to pursue B.Tech in LPU?,164,11 months ago
What are the accreditation and ranking earned by LPU?,394,11 months ago
Can I get a job after MBA from LPU?,23,10 months ago
Which university is better among LPU and Vignan University?,84,11 months ago
How is the faculty and infrastructure of Lovely Professional University for B.Arch?,400,11 months ago
"Which is better for MBA Amity, LPU, CU or Bennett university?",342,11 months ago
"Which one should I prefer for B.Arch, Lovely Professional University or Trinity College of Architecture and why?",351,11 months ago
What are the jobs available after BTech from LPU?,5,10 months ago
Which University is good for m.ba Chandigarh University or LPU?,271,11 months ago
"Which is better to pursue CS among Chandigarh University, Chitkara and Lovely Professional University?",184,11 months ago
Will I face any kind of ragging or harassing activity in the hostel or classroom of LPU?,970,11 months ago
"Which University is best among LPU, CU, Parul University and Amrita University?",301,11 months ago
What is the fee structure of LPU for B.Tech (CSE)?,196,11 months ago
"Which one is better among LPU, Amity and CU?",46,11 months ago
What is the fee structure to complete CSE at LPU?,239,11 months ago
Does LPU provides internship for M.Sc in hotel management?,77,11 months ago
How are the hostel facilities at LPU.,105,11 months ago
Do banks provide finance to study MBA in LPU?,42,11 months ago
Are there any scholarships available at LPU University?,12,10 months ago
Which university is best between LPU and GLA?,595,11 months ago
Is it possible to get admission in LPU without LPU-NEST? I have completed Diploma in mechanical engineering with 85%.,129,11 months ago
"Which is better university for BCA LPU, Sharda, Amity, or Chandigarh University? Also tell me average salary package in BCA?",108,11 months ago
Which is the best college to pursue B.Com in Punjab?,105,11 months ago
Which is a better university to pursue BBA among LPU and Chitkara University Chandigarh?,29,11 months ago
Is LPU University a government university?,15,10 months ago
What is the fee for BBA Lateral Entry at LPU?,16,10 months ago
Does LPU have any industry collaborated MBA programs also?,101,a year ago
Which are the BBA specialisations offered at LPU?,13,10 months ago
Which is the best university for BBA among Christ University and LPU?,3000,a year ago
What is the criteria for BBA in LPU?,12,10 months ago
How can I get admission to LPU MCA course?,13,10 months ago
Should I apply to LPU through the LPU NEST? Is it worth the preparation? Does LPU offer great opportunities?,54,11 months ago
How can I get scholarship for MBA in LPU?,17,10 months ago
Which is the best branch of LPU for B.Tech?,287,a year ago
How are the placements for B.Tech in Lovely Professional University?,177,11 months ago
What are the various sports facilities offer at LPU?,112,11 months ago
How is LPU for B.Des in gaming?,44,11 months ago
How is the placement assistance in LPU for BCA course? What is the minimum salary package offered to the BCA students?,77,11 months ago
Which university is better from Chandigarh University or LPU on the basis of their overall NIRF 2021 Ranking?,80,11 months ago
Can I get the last year's placement record of LPU for B.Sc in agriculture?,248,11 months ago
